AirSpace_Class,From_City,To_City,Price,Aircraft_Model,Engine_Model
B,Sydney,Melbourne,180,A330-203,CF6-80E142
A,Sydney,Brisbane,170,A330-202,CF6-80E142
B,Sydney,Canberra,120,B737-3B7,CFM56-3B1
B,Canberra,Sydney,120,B737-476,CFM-56-3
A,Sydney,Newcastle,90,A320-232,V2527-5A
A,Newcastle,Sydney,90,A320-232,V2527-5A
B,Sydney,BrokenHill,130,A320-232,V2527-5A
B,BrokenHill,Sydney,130,A320-232,V2527-5A
C,Melbourne,Sydney,180,A330-243,772B-60
B,Melbourne,Canberra,140,A320-232,V2527-5A
B,Canberra,Melbourne,140,A320-232,V2527-5A
A,Melbourne,Adelaide,175,B737-3B7,CFM56-3B1
A,Melbourne,Hobart,130,A320-232,V2527-5A
A,Melbourne,Bendigo,70,B717-200,Unknown
A,Bendigo,Melbourne,70,B717-200,Unknown
A,Melbourne,Launceston,100,B737-3B7,CFM56-3B1
C,Adelaide,Melbourne,175,B737-3B7,CFM56-3B1
C,Adelaide,BrokenHill,100,A320-232,V2527-5A
C,BrokenHill,Adelaide,100,A320-232,V2527-5A
D,Adelaide,Perth,220,A330-203,CF6-80E142
D,Adelaide,Darwin,230,A330-203,CF6-80E142
D,Darwin,Adelaide,230,A330-203,CF6-80E142
E,Darwin,AliceSprings,120,B737-476,CFM-56-3
E,AliceSprings,Darwin,120,B737-476,CFM-56-3
D,Perth,Adelaide,220,A330-203,CF6-80E142
C,Perth,Albany,100,A320-232,V2527-5A
C,Perth,Kalgoorlie,80,A320-232,V2527-5A
C,Perth,Broome,90,A320-232,V2527-5A
B,Albany,Perth,100,A320-232,V2527-5A
C,Kalgoorlie,Perth,80,A320-232,V2527-5A
B,Broome,Perth,90,B737-476,CFM-56-3
B,Launceston,Melbourne,100,B737-476,CFM-56-3
B,Launceston,Hobart,80,A320-232,V2527-5A
A,Hobart,Melbourne,130,B737-3B7,CFM56-3B1
A,Hobart,Launceston,80,A320-232,V2527-5A
B,Brisbane,Sydney,170,A330-203,CF6-80E142
A,Brisbane,MtIsa,170,B737-3B7,CFM56-3B1
A,Brisbane,Rockhampton,180,B737-3B7,CFM56-3B1
A,Brisbane,Cairns,230,A330-203,CF6-80E142
B,Brisbane,Darwin,240,A330-203,CF6-80E142
A,MtIsa,Brisbane,170,A330-202,CF6-80E142
B,Rockhampton,Brisbane,180,A330-202,CF6-80E142
A,Cairns,Brisbane,230,A330-203,CF6-80E142
A,Darwin,Brisbane,240,A330-203,CF6-80E142
B,MtIsa,Darwin,120,B737-3B7,CFM56-3B1
B,Darwin,MtIsa,120,B737-3B7,CFM56-3B1
B,Adelaide,PtAugusta,50,B717-200,Unknown
C,PtAugusta,Adelaide,50,B717-200,Unknown
